FECHA,N° DOC,TERCERO,DESCRIPCIÓN,ORIGEN,DEBITO,CREDITO,SALDO
01/02/2024,11751,,9163,Terminal LS - Transferencia TPV,"142799,99",0,"-5042365,05"
01/02/2024,11750,,9161,Terminal LS - Transferencia TPV,"86350,01",0,"-4956015,04"
01/02/2024,11749,,9151,Terminal LS - Transferencia TPV,"77000,01",0,"-4879015,03"
01/02/2024,11748,,9147,Terminal LS - Transferencia TPV,54000,0,"-4825015,03"
01/02/2024,11747,,9141,Terminal LS - Transferencia TPV,52800,0,"-4772215,03"
01/02/2024,11745,,9167,Terminal LS - Tarjeta TPV,71500,0,"-4700715,03"
01/02/2024,11744,,9166,Terminal LS - Tarjeta TPV,84700,0,"-4616015,03"
01/02/2024,11743,,9162,Terminal LS - Tarjeta TPV,59400,0,"-4556615,03"
01/02/2024,11742,,9159,Terminal LS - Tarjeta TPV,68200,0,"-4488415,03"
01/02/2024,11741,,9158,Terminal LS - Tarjeta TPV,133760,0,"-4354655,03"
01/02/2024,11740,,9157,Terminal LS - Tarjeta TPV,197692,0,"-4156963,03"
01/02/2024,11739,,9155,Terminal LS - Tarjeta TPV,"138930,01",0,"-4018033,02"
01/02/2024,11738,,9153,Terminal LS - Tarjeta TPV,140250,0,"-4989419,58"
01/02/2024,11737,,9146,Terminal LS - Tarjeta TPV,"56100,01",0,"-4933319,57"
01/02/2024,11736,,9143,Terminal LS - Tarjeta TPV,63800,0,"-4869519,57"
01/02/2024,11735,,9142,Terminal LS - Tarjeta TPV,60346,0,"-4809173,57"
01/02/2024,11753,,9165,Terminal LS - Transferencia TPV,"70950,01",0,"-4738223,56"
01/02/2024,11752,,9164,Terminal LS - Transferencia TPV,118250,0,"-6680740,66"
01/03/2024,11754,,,Terminal LS - Transferencia TPV,0,602200,"-7282940,66"
01/03/2024,11746,,,Terminal LS - Tarjeta TPV,0,1074678,"-8357618,66"
01/03/2024,11857,,9174,Terminal LS - Tarjeta TPV,"74800,01",0,"-8282818,65"
01/03/2024,11859,,9184,Terminal LS - Tarjeta TPV,"62699,99",0,"-8220118,66"
01/03/2024,11860,,9185,Terminal LS - Tarjeta TPV,"81400,01",0,"-8138718,65"
01/03/2024,11861,,9186,Terminal LS - Tarjeta TPV,75900,0,"-8062818,65"
