FECHA,N° DOC,TERCERO,DESCRIPCIÓN,ORIGEN,DEBITO,CREDITO,SALDO
01/02/2024,11733,,9160,Terminal LS - Efectivo TPV,71500,0,"-28500,37"
01/02/2024,11722,,9138,Terminal LS - Efectivo TPV,"163680,02",0,"135179,65"
01/02/2024,11724,,9140,Terminal LS - Efectivo TPV,106700,0,"241879,65"
01/02/2024,11730,,9152,Terminal LS - Efectivo TPV,"118800,01",0,"360679,66"
01/02/2024,11729,,9150,Terminal LS - Efectivo TPV,"78100,01",0,"438779,67"
01/02/2024,11721,,9137,Terminal LS - Efectivo TPV,"157850,02",0,"596629,69"
01/02/2024,11725,,9144,Terminal LS - Efectivo TPV,134000,0,"720629,69"
01/02/2024,11731,,9154,Terminal LS - Efectivo TPV,61050,0,"781679,69"
01/02/2024,11726,,9145,Terminal LS - Efectivo TPV,"102000,01",0,"883679,7"
01/02/2024,11723,,9139,Terminal LS - Efectivo TPV,"56000,01",0,"939679,83"
01/02/2024,11732,,9156,Terminal LS - Efectivo TPV,154660,0,"1027339,29"
01/02/2024,11728,,9149,Terminal LS - Efectivo TPV,53000,0,"1080339,29"
01/02/2024,11727,,9148,Terminal LS - Efectivo TPV,70000,0,"1150339,29"
01/03/2024,11734,,,Terminal LS - Efectivo TPV,1327200,0,"2477539,29"
01/03/2024,11855,,9194,Terminal LS - Efectivo TPV,6800,0,"2484339,29"
01/03/2024,11854,,9193,Terminal LS - Efectivo TPV,74580,0,"2558919,29"
01/03/2024,11734,,,Terminal LS - Efectivo TPV,0,1327200,"1231719,29"
01/03/2024,11754,,,Terminal LS - Transferencia TPV,602200,0,"1833919,29"
01/03/2024,11848,,9168,Terminal LS - Efectivo TPV,14000,0,"1847919,29"
01/03/2024,11746,,,Terminal LS - Tarjeta TPV,1074678,0,"2922597,29"
01/03/2024,11853,,9192,Terminal LS - Efectivo TPV,51000,0,"2618098,14"
01/03/2024,11852,,9183,Terminal LS - Efectivo TPV,64350,0,"2682448,14"
01/03/2024,11851,,9175,Terminal LS - Efectivo TPV,"19000,01",0,"2701448,15"
01/03/2024,11850,,9171,Terminal LS - Efectivo TPV,49000,0,"2567662,6"
01/03/2024,11849,,9169,Terminal LS - Efectivo TPV,34000,0,"2601662,6"
01/04/2024,12271,,9205,Terminal LS - Efectivo TPV,"71999,99",0,"2673662,59"
01/04/2024,12276,,9244,Terminal LS - Efectivo TPV,"66549,99",0,"2740212,58"
01/04/2024,12273,,9231,Terminal LS - Efectivo TPV,"139699,99",0,"2879912,57"
01/04/2024,12277,,9253,Terminal LS - Efectivo TPV,"69740,01",0,"2949652,58"
01/04/2024,11878,,,Terminal LS - Transferencia TPV,1083180,0,"4032832,58"
01/04/2024,12275,,9239,Terminal LS - Efectivo TPV,68200,0,"4101032,58"
01/04/2024,12274,,9234,Terminal LS - Efectivo TPV,108900,0,"4209932,58"
