FECHA,N° DOC,TERCERO,DESCRIPCIÓN,ORIGEN,DEBITO,CREDITO,SALDO
01/04/2024,12179,,9212,Terminal SE - Efectivo TPV,50000,0,"8132,44"
01/04/2024,12177,,9198,Terminal SE - Efectivo TPV,85400,0,"93532,44"
01/04/2024,12180,,9221,Terminal SE - Efectivo TPV,"70950,01",0,"164482,45"
01/04/2024,12181,,9228,Terminal SE - Efectivo TPV,"144999,99",0,"309482,44"
01/04/2024,12178,,9200,Terminal SE - Efectivo TPV,140000,0,"449482,44"
01/04/2024,12182,,9251,Terminal SE - Efectivo TPV,"109000,02",0,"558482,46"
01/05/2024,12679,,9280,Terminal SE - Efectivo TPV,"46000,01",0,"604482,47"
01/05/2024,12784,,9312,Terminal LS - Efectivo TPV,72050,0,"676532,47"
01/05/2024,12680,,9285,Terminal SE - Efectivo TPV,"175650,01",0,"852182,48"
01/05/2024,12681,,9287,Terminal SE - Efectivo TPV,6800,0,"858982,48"
01/05/2024,12682,,9288,Terminal SE - Efectivo TPV,38060,0,"897042,48"
01/05/2024,12683,,9289,Terminal SE - Efectivo TPV,74470,0,"971512,48"
01/05/2024,12183,,,Terminal SE - Efectivo TPV,600450,0,"1571962,48"
01/05/2024,12183,,,Terminal SE - Efectivo TPV,0,600450,"971512,48"
01/05/2024,12684,,9290,Terminal SE - Efectivo TPV,"63800,01",0,"1035312,49"
01/05/2024,12685,,9301,Terminal SE - Efectivo TPV,99220,0,"1134532,49"
01/05/2024,12686,,9304,Terminal SE - Efectivo TPV,"64900,01",0,"1199432,5"
01/05/2024,12687,,9329,Terminal SE - Efectivo TPV,83952,0,"1283384,5"
01/05/2024,12778,,9277,Terminal LS - Efectivo TPV,50500,0,"1333884,5"
01/05/2024,12688,,9337,Terminal SE - Efectivo TPV,49000,0,"1382884,5"
01/05/2024,12785,,9316,Terminal LS - Efectivo TPV,91000,0,"1473884,5"
01/05/2024,12779,,9279,Terminal LS - Efectivo TPV,"62700,01",0,"1536584,51"
01/05/2024,12676,,9270,Terminal SE - Efectivo TPV,186300,0,"1722884,51"
01/05/2024,12677,,9275,Terminal SE - Efectivo TPV,"144430,01",0,"1867314,52"
01/05/2024,12678,,9276,Terminal SE - Efectivo TPV,56000,0,"1923314,52"
01/05/2024,12787,,9333,Terminal LS - Efectivo TPV,6800,0,"1930114,52"
01/05/2024,12781,,9286,Terminal LS - Efectivo TPV,52000,0,"1982114,52"
01/05/2024,12788,,9336,Terminal LS - Efectivo TPV,185900,0,"2168014,52"
01/05/2024,12782,,9299,Terminal LS - Efectivo TPV,75500,0,"2243514,52"
01/05/2024,12780,,9284,Terminal LS - Efectivo TPV,73546,0,"2317060,52"
01/05/2024,12786,,9326,Terminal LS - Efectivo TPV,71500,0,"2388560,52"
01/05/2024,12777,,9268,Terminal LS - Efectivo TPV,"12000,99",0,"2400561,51"
01/05/2024,12783,,9308,Terminal LS - Efectivo TPV,76010,0,"2476571,51"
01/05/2024,12789,,9341,Terminal LS - Efectivo TPV,192830,0,"2669401,51"
01/06/2024,13454,,9460,Terminal SE - Efectivo TPV,"235059,01",0,"2904460,52"
01/06/2024,13446,,9423,Terminal SE - Efectivo TPV,108000,0,"3012460,52"
01/06/2024,13432,,9366,Terminal SE - Efectivo TPV,112000,0,"3124460,52"
01/06/2024,13455,,9478,Terminal SE - Efectivo TPV,90200,0,"3214660,52"
01/06/2024,13434,,9372,Terminal SE - Efectivo TPV,59000,0,"3273660,52"
01/06/2024,13449,,9434,Terminal SE - Efectivo TPV,"67210,01",0,"3340870,53"
01/06/2024,13440,,9385,Terminal SE - Efectivo TPV,"158400,02",0,"3499270,55"
01/06/2024,12689,,,Terminal SE - Efectivo TPV,1089500,0,"4588770,55"
01/06/2024,12689,,,Terminal SE - Efectivo TPV,0,1089500,"3499270,55"
01/06/2024,13437,,9379,Terminal SE - Efectivo TPV,239318,0,"3696708,55"
01/06/2024,13451,,9442,Terminal SE - Efectivo TPV,41000,0,"3737708,55"
01/06/2024,13456,,9489,Terminal SE - Efectivo TPV,"215270,02",0,"3952978,57"
01/06/2024,13438,,9380,Terminal SE - Efectivo TPV,43500,0,"3996478,57"
01/06/2024,13439,,9384,Terminal SE - Efectivo TPV,123752,0,"4120230,57"
01/06/2024,13436,,9376,Terminal SE - Efectivo TPV,"148280,01",0,"4268510,58"
01/06/2024,13430,,9362,Terminal SE - Efectivo TPV,61600,0,"4330110,58"
01/06/2024,13433,,9367,Terminal SE - Efectivo TPV,"89100,02",0,"4419210,6"
01/06/2024,13450,,9441,Terminal SE - Efectivo TPV,"69300,01",0,"4488510,61"
01/06/2024,13431,,9365,Terminal SE - Efectivo TPV,"233530,02",0,"4722040,63"
01/06/2024,13447,,9426,Terminal SE - Efectivo TPV,76000,0,"4798040,63"
01/06/2024,13453,,9458,Terminal SE - Efectivo TPV,52500,0,"4850540,63"
01/06/2024,13443,,9395,Terminal SE - Efectivo TPV,"122859,99",0,"4973400,62"
01/06/2024,13441,,9386,Terminal SE - Efectivo TPV,71896,0,"5045296,62"
01/06/2024,13442,,9393,Terminal SE - Efectivo TPV,162550,0,"5207846,62"
01/06/2024,13445,,9399,Terminal SE - Efectivo TPV,128150,0,"5335996,62"
01/06/2024,13448,,9427,Terminal SE - Efectivo TPV,"71240,02",0,"5407236,64"
01/06/2024,13435,,9373,Terminal SE - Efectivo TPV,"69960,01",0,"5477196,65"
01/06/2024,13452,,9451,Terminal SE - Efectivo TPV,62370,0,"5539566,65"
01/06/2024,13444,,9396,Terminal SE - Efectivo TPV,"49999,99",0,"5503078,91"
01/07/2024,14304,,9599,Terminal SE - Efectivo TPV,81200,0,"5584278,91"
01/07/2024,14294,,9560,Terminal SE - Efectivo TPV,"68500,01",0,"5652778,92"
01/07/2024,14288,,9533,Terminal SE - Efectivo TPV,55000,0,"5707778,92"
01/07/2024,14285,,9523,Terminal SE - Efectivo TPV,"155100,02",0,"5862878,94"
01/07/2024,14297,,9571,Terminal SE - Efectivo TPV,98450,0,"5961328,94"
01/07/2024,14293,,9557,Terminal SE - Efectivo TPV,"160490,01",0,"6121818,95"
01/07/2024,14299,,9586,Terminal SE - Efectivo TPV,38250,0,"6160068,95"
01/07/2024,14281,,9512,Terminal SE - Efectivo TPV,"287800,01",0,"6447868,96"
01/07/2024,14282,,9517,Terminal SE - Efectivo TPV,3700,0,"6451568,96"
01/07/2024,14292,,9556,Terminal SE - Efectivo TPV,"86324,01",0,"6537892,97"
01/07/2024,14284,,9521,Terminal SE - Efectivo TPV,168934,0,"6706826,97"
01/07/2024,14306,,9613,Terminal SE - Efectivo TPV,"93170,01",0,"6799996,98"
01/07/2024,14312,,9638,Terminal SE - Efectivo TPV,"228030,01",0,"7028026,99"
01/07/2024,14289,,9535,Terminal SE - Efectivo TPV,"77330,01",0,7105357
01/07/2024,14300,,9588,Terminal SE - Efectivo TPV,108338,0,7213695
01/07/2024,14307,,9616,Terminal SE - Efectivo TPV,83820,0,7297515
01/07/2024,14309,,9626,Terminal SE - Efectivo TPV,123420,0,7420935
01/07/2024,14296,,9564,Terminal SE - Efectivo TPV,"151514,01",0,"7572449,01"
01/07/2024,14302,,9594,Terminal SE - Efectivo TPV,169950,0,"7742399,01"
01/07/2024,14290,,9549,Terminal SE - Efectivo TPV,"110999,99",0,7853399
01/07/2024,14280,,9502,Terminal SE - Efectivo TPV,68200,0,7921599
01/07/2024,14310,,9634,Terminal SE - Efectivo TPV,"98000,01",0,"7875513,37"
01/07/2024,14287,,9532,Terminal SE - Efectivo TPV,157137,0,"8032650,37"
01/07/2024,13457,,,Terminal SE - Efectivo TPV,2962100,0,"10994750,37"
