Numero,CUFE/CUDE
FPSE361,88c5318480f8dff8306acdc685f64e0a7f453131635317ccad161bf481b4beb473cb9df88d4f51e7857050bcd36d84e7
FPLS540,5dce93c07543105b916f1e6395acd59f5a1a078a4c9a1950cd75b846e23da6ba4b4659ef1ffc1ba1feab0c325409a1c5
FPSE412,d6506432bcf7352b44d523388d4d7e1bdb667b4b9c8bda6a78b0669f77fdb2cfb4d4246b8cff3134fd6a30d7659fe049
FPSE411,01523a47ea56a8f916613faed6a3bb13d2e51bcc3a2f2924c0c4f14957848b8baa59cdab33abb0a4da9c84e8e40f31f5
FPSE408,957fdf18f9689a801a44a1f601386b6f08122a0ab8f6f31eb619e6dbd444f3e5cc112c26eea41209cd03785054dfae9e
FPSE405,a79e2cba3a15f0a432d10c9c06a55cf776db20abbbc55dff124baa694c5dba2c02b6d65c4820c49c5357f0f7c2776602
FPLS454,9c2ade92f91564985441929022b6c514adc9934f5a45c0b422b785ff9de966106617991ff4dee832224d71301969c124
FPLS499,226a6c159d004d207354d04708b719067316fd6841db70c1578fbd868c076c47484edd426040b0120b738fcc48cce692
FPLS507,d44041f57d8acd07c052b5733fc025f075881e8daac8b75136a1f4f1e1a236409e2733f0f4fbb8318615ee6952d66f93
FPLS513,e39491df7e48f34b0706ebe3cf1bb27525d4efea62f64aea8b6da4c63fa65bf53a2eee42a29c9107c4d5183385a0166c
FPSE391,e6a926fef5990f3a5c07042af9cf4f276db63705e86d06013c858c356b559e366960400d3ac03f25fe9ce3e385a37f91
FPSE417,25cb47c64ae02068a6421ba89b747cb1c5cdac0281f8791b3fda940e70188aa1a7ef399a9b0aeafd4c4887a0af02d419
FPLS522,f44d58e42eb909c72a20d316b22e98429224f6adaa36bb5511241eface1c3f74eb8dae9df95ae47c9c9b402b3b18a9ae
FPSE362,4fcbb3ab8e20223ba9cd9e678abf8601c02530d14264bcc1205ae949f40dcd65ea2dfdefb58f6329dbf0bd3853bb7924
FPSE363,0cedc15813403123232656152634ad35a9e2c2179530f245fcbe1bbded68029a371a2a785333c7b2712bac776da8e24e
FPSE364,4f2293cccbc47bf4604d1b6040eff1dccf985567c3ac5c80d5ffe2eb2d3a8950e890fa8c3c060a8987bad5ab182d792e
FPSE366,726d213d274491dba97bef16f1529bfe5cb8d8699ef2ffcfcb8cbdf0e29ee51bd1f629bdbf2edfbfc0dc36fc7c125cf1
FPSE367,435575b1adc70e76396cd06441ff193abc27e298e5ad00473b842af824af8a1d07b38e98f0b65969d00e04f380b2d595
FPSE368,2a5a598ab54067cb756b6007b9a1b88fad0129eaa61c9a206b58a6503ca7d03b14b2caf26d1f9a2872506988dc075db8
FPSE369,cc79432e22dc4b8eaed9ed2c332d7308dfe2e31bd235a8c1442a9a132acc6a8146940ca4651beb08b71f7fc195686b13
FPSE370,b61ffeac412394c5d5c87e94709c39f3498b073ae3ffb78972889ef4f7beea755ff87a73becd3694a140e2d3c3474501
FPSE371,1ae5dd0c13cfc529055fb393ce3592418a0c5ef32a003260229c68de370e1fc1390a1fedc560ed6520a5d974a33937ac
FPSE372,52d05eee69a7b22be0c190f557c1d507b551a04c4de34f0ad6b7ffaae3ab974a4862784d22d3c19541095cdc4e876209
FPSE373,f4e7bcb125185f43cc2b8b5e70996613065a244607ddd548b3ffaa6e6e0896d98db35a592450bf28fcab2676a82ff038
FPSE374,e3537d34c09f5626f6cd4a873b8a8ea90c75e5e06a45be3912e875a2161e96cf43b60b43472817fa7810e6bfdc5371c6
FPSE375,094cf68b60db67dd611f5a7b296ed852dba9b508bf5931bdcbec66a20ee4013137b397c38a33d7b69dda827944a4a502
FPSE376,655c2a0a828e4eccdfeb9db0091c71d2715960e0ae13e6a10ee7d882854ebbd78c41862f8bd350c0fa67b04de943f420
FPSE377,002837c98356013d54c7d04c81e5e1e09cb162d56aa8eb037b6bf72f8f18481c94314867242c805c0ef1bbbe2e93951b
FPSE378,c5db352c35d9498f23b6ad1abcdb3b3e2ea4670bdf4cb6e892a409e0ea37592d5658e854ccc7446490385fab92092fb5
